Title,Author,Rating,Genre
"Bloody Jack (Bloody Jack, #1)",L.A. Meyer,"4.11 avg rating — 26,032 ratings",Adventure
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady (Bloody Jack, #2)",L.A. Meyer,"4.27 avg rating — 12,563 ratings",Adventure
"In the Belly of the Bloodhound: Being an Account of a Particularly Peculiar Adventure in the Life of Jacky Faber (Bloody Jack, #4)",L.A. Meyer,"4.32 avg rating — 10,016 ratings",Adventure
"Under the Jolly Roger: Being an Account of the Further Nautical Adventures of Jacky Faber (Bloody Jack, #3)",L.A. Meyer,"4.33 avg rating — 11,043 ratings",Adventure
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.01 avg rating — 1,465,757 ratings",Adventure
"My Bonny Light Horseman: Being an Account of the Further Adventures of Jacky Faber, in Love and War (Bloody Jack, #6)",L.A. Meyer,"4.25 avg rating — 7,498 ratings",Adventure
"Mississippi Jack: Being an Account of the Further Waterborne Adventures of Jacky Faber, Midshipman, Fine Lady, and Lily of the West (Bloody Jack, #5)",L.A. Meyer,"4.20 avg rating — 8,592 ratings",Adventure
"Rapture of the Deep: Being an Account of the Further Adventures of Jacky Faber, Soldier, Sailor, Mermaid, Spy (Bloody Jack, #7)",L.A. Meyer,"4.27 avg rating — 6,526 ratings",Adventure
"The Wake of the Lorelei Lee: Being an Account of the Adventures of Jacky Faber, on her Way to Botany Bay (Bloody Jack, #8)",L.A. Meyer,"4.25 avg rating — 5,554 ratings",Adventure
"The Cavalier (Heroes of the Empire, #1)",Israh Azizi,4.47 avg rating — 72 ratings,Adventure
The Hobbit,J.R.R. Tolkien,"4.28 avg rating — 3,661,189 ratings",Adventure
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"3.89 avg rating — 271,942 ratings",Adventure
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"3.86 avg rating — 536,546 ratings",Adventure
The Odyssey,Homer,"3.80 avg rating — 1,017,296 ratings",Adventure
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"4.44 avg rating — 2,355,201 ratings",Adventure
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"4.29 avg rating — 306,156 ratings",Adventure
"The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper,"4.06 avg rating — 54,460 ratings",Adventure
The Lord of the Rings,J.R.R. Tolkien,"4.52 avg rating — 644,622 ratings",Adventure
The Poisonwood Bible,Barbara Kingsolver,"4.09 avg rating — 716,784 ratings",Adventure
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"4.52 avg rating — 891,705 ratings",Adventure
"The Warrior Heir (The Heir Chronicles, #1)",Cinda Williams Chima,"3.94 avg rating — 51,418 ratings",Adventure
