Title,Author,Rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.33 avg rating — 7,898,732 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,124,775 ratings"
Pride and Prejudice,Jane Austen,"4.28 avg rating — 3,911,330 ratings"
To Kill a Mockingbird,Harper Lee,"4.27 avg rating — 5,651,813 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,345,758 ratings"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.64 avg rating — 6,121,598 ratings"
Animal Farm,George Orwell,"3.98 avg rating — 3,543,929 ratings"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"4.27 avg rating — 613,563 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 126,788 ratings"
The Fault in Our Stars,John Green,"4.15 avg rating — 4,726,000 ratings"
Gone with the Wind,Margaret Mitchell,"4.30 avg rating — 1,175,912 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,062,698 ratings"
Wuthering Heights,Emily Brontë,"3.88 avg rating — 1,672,239 ratings"
The Picture of Dorian Gray,Oscar Wilde,"4.12 avg rating — 1,352,988 ratings"
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 9,208,548 ratings"
Jane Eyre,Charlotte Brontë,"4.14 avg rating — 1,963,054 ratings"
The Perks of Being a Wallflower,Stephen Chbosky,"4.22 avg rating — 1,644,726 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"3.90 avg rating — 2,238,510 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 4,801,920 ratings"
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.06 avg rating — 533,612 ratings"
Memoirs of a Geisha,Arthur Golden,"4.14 avg rating — 1,922,711 ratings"
The Little Prince,Antoine de Saint-Exupéry,"4.32 avg rating — 1,903,894 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.15 avg rating — 3,681,670 ratings"
Les Misérables,Victor Hugo,"4.20 avg rating — 764,214 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.29 avg rating — 2,670,698 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.25 avg rating — 812,093 ratings"
