Title,Author,Rating,Genre
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.23 avg rating — 1,744,681 ratings",comedy
Me Talk Pretty One Day,David Sedaris,"really liked it 4.00 avg rating — 682,179 ratings",comedy
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"4.04 avg rating — 532,293 ratings",comedy
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,"4.22 avg rating — 169,201 ratings",comedy
Good Omens,Terry Pratchett,"4.25 avg rating — 684,064 ratings",comedy
My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,"3.78 avg rating — 108,109 ratings",comedy
All My Friends Are Dead,Jory John,"4.15 avg rating — 30,093 ratings",comedy
Sh*t My Dad Says,Justin Halpern,"3.98 avg rating — 154,604 ratings",comedy
When You Are Engulfed in Flames,David Sedaris,"4.07 avg rating — 204,108 ratings",comedy
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"really liked it 4.00 avg rating — 368,412 ratings",comedy
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,"3.84 avg rating — 162,197 ratings",comedy
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"4.08 avg rating — 1,919,691 ratings",comedy
Cake Wrecks: When Professional Cakes Go Hilariously Wrong,Jen Yates,"3.91 avg rating — 5,815 ratings",comedy
Dress Your Family in Corduroy and Denim,David Sedaris,"4.10 avg rating — 271,774 ratings",comedy
A Coupla Shades of Taupe,Court Burback,3.75 avg rating — 89 ratings,comedy
"I Hope They Serve Beer in Hell (Tucker Max, #1)",Tucker Max,"3.49 avg rating — 57,237 ratings",comedy
"Right Ho, Jeeves (Jeeves, #6)",P.G. Wodehouse,"4.30 avg rating — 28,358 ratings",comedy
The Daily Show with Jon Stewart Presents America (The Audiobook): A Citizen's Guide to Democracy Inaction,Jon   Stewart,"really liked it 4.00 avg rating — 95,162 ratings",comedy
Bridget Jones's Diary,Helen Fielding,"3.80 avg rating — 954,075 ratings",comedy
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,"3.71 avg rating — 158,338 ratings",comedy
The Princess Bride,William Goldman,"4.26 avg rating — 871,868 ratings",comedy
Naked,David Sedaris,"4.09 avg rating — 259,812 ratings",comedy
Cat's Cradle,Kurt Vonnegut Jr.,"4.16 avg rating — 385,035 ratings",comedy
The Westing Game,Ellen Raskin,"4.01 avg rating — 201,277 ratings",comedy
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"4.16 avg rating — 201,050 ratings",comedy
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,Scott Dikkers,"4.14 avg rating — 13,153 ratings",comedy
This is Where I Leave You,Jonathan Tropper,"3.88 avg rating — 141,532 ratings",comedy
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"4.12 avg rating — 893,924 ratings",comedy
The Importance of Being Earnest,Oscar Wilde,"4.18 avg rating — 352,481 ratings",comedy
"Angels & Demons (Robert Langdon, #1)",Dan Brown,"3.93 avg rating — 3,079,426 ratings",comedy
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 9,310,374 ratings",comedy
Spanking Shakespeare,Jake Wizner,"3.81 avg rating — 3,523 ratings",comedy
Three hundred & Thirty-Three Twisted Tongue Twisters,Byron L. Reeder,4.89 avg rating — 37 ratings,comedy
Julia's Chocolates,Cathy  Lamb,"3.85 avg rating — 7,651 ratings",comedy
The Internet is a Playground,David Thorne,"3.96 avg rating — 6,283 ratings",comedy
"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.15 avg rating — 183 ratings,comedy
Dogshit Saved My Life,Karl Wiggins,4.15 avg rating — 165 ratings,comedy
It's Kind of a Funny Story,Ned Vizzini,"4.09 avg rating — 243,244 ratings",comedy
Suicide Notes,Michael Thomas Ford,"3.83 avg rating — 38,713 ratings",comedy
The Grass Is Always Greener over the Septic Tank,Erma Bombeck,"4.06 avg rating — 11,185 ratings",comedy
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,"4.35 avg rating — 314,570 ratings",comedy
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,"4.74 avg rating — 279,028 ratings",comedy
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"4.32 avg rating — 798,374 ratings",comedy
Villa Incognito,Tom Robbins,"3.68 avg rating — 18,489 ratings",comedy
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"4.29 avg rating — 308,673 ratings",comedy
The Glass Castle,Jeannette Walls,"4.31 avg rating — 1,124,139 ratings",comedy
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,"3.58 avg rating — 1,812,525 ratings",comedy
"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"3.72 avg rating — 1,707,191 ratings",comedy
Surviving Your Stupid Stupid Decision to Go to Grad School,Adam Ruben,3.76 avg rating — 811 ratings,comedy
Gil's All Fright Diner,A. Lee Martinez,"3.86 avg rating — 12,976 ratings",comedy
Lost In Spain: A Collection Of Humorous Essays,Scott Oglesby,4.18 avg rating — 22 ratings,comedy
Women on Top: A Parody of The Handmaid's Tale (The Dud Wimpole Saga Book 1),Daniel Silman,it was amazing 5.00 avg rating — 9 ratings,comedy
Corn for Chickens,Bernie Morris,4.64 avg rating — 14 ratings,comedy
"I Rant, Therefore I Am",Dennis Miller,3.62 avg rating — 484 ratings,comedy
Don't Dump the Dog: Outrageous Stories and Simple Solutions to Your Worst Dog Behavior Problems,Randy Grim,4.36 avg rating — 404 ratings,comedy
"The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)",Christopher Moore,"3.81 avg rating — 44,125 ratings",comedy
Barrel Fever: Stories and Essays,David Sedaris,"3.79 avg rating — 54,185 ratings",comedy
My Life and Hard Times,James Thurber,"4.11 avg rating — 3,506 ratings",comedy
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"4.28 avg rating — 926,207 ratings",comedy
"The Portable Door (J. W. Wells & Co., #1)",Tom Holt,"3.85 avg rating — 5,815 ratings",comedy
Things My Girlfriend and I Have Argued About,Mil Millington,"3.68 avg rating — 3,137 ratings",comedy
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"3.75 avg rating — 66,851 ratings",comedy
Native Tongue (Skink #2),Carl Hiaasen,"3.96 avg rating — 16,226 ratings",comedy
How to Cook Everything: Simple Recipes for Great Food,Mark Bittman,"3.99 avg rating — 97,051 ratings",comedy
Pnin,Vladimir Nabokov,"3.89 avg rating — 23,002 ratings",comedy
Five-Star FLEECING,Maura Stone,4.37 avg rating — 70 ratings,comedy
"Cringe: Toe Curlingly Embarrassing Teenage Diaries, Love Letters And Bad Poetry",Sarah  Brown,3.14 avg rating — 57 ratings,comedy
"Slapstick & Superego: Essays, Rants & Scathing Social Commentary",Tom Waters,3.67 avg rating — 3 ratings,comedy
"Don't Shoot, It's Only Me",Bob Hope,3.97 avg rating — 368 ratings,comedy
"Beast Behaving Badly (Pride, #5)",Shelly Laurenston,"4.41 avg rating — 15,215 ratings",comedy
Life of the Party: A Political Press Tart Bares All,Lisa Baron,liked it 3.00 avg rating — 76 ratings,comedy
Naked Pictures of Famous People,Jon   Stewart,"3.57 avg rating — 9,943 ratings",comedy
Let's Get Lade,Thomas Amo,really liked it 4.00 avg rating — 36 ratings,comedy
"Boob Action (Boob Explosion, #2)",Charles Chiyangwa,4.86 avg rating — 7 ratings,comedy
Little Leaves That Never Appeared in The New Yorker,Henry F. Mazel,it was amazing 5.00 avg rating — 1 rating,comedy
Don't Worry About It,Thomas Maul,4.20 avg rating — 5 ratings,comedy
Travel To the G-Spot -- The Guide Book,Steve  Cohen,3.81 avg rating — 32 ratings,comedy
The United States of Air,J.M. Porup,3.26 avg rating — 131 ratings,comedy
This is a Book,Demetri Martin,"3.74 avg rating — 8,605 ratings",comedy
Bad Amateur Ebook Writer Romance Story,Ivana Murleau,3.70 avg rating — 10 ratings,comedy
The Tenth Life of Mr. Whiskers,R.A. Gates,3.64 avg rating — 180 ratings,comedy
Not Taco Bell Material,Adam Carolla,"3.76 avg rating — 5,622 ratings",comedy
Cracks in the Foundation,Erica Ferencik,3.74 avg rating — 19 ratings,comedy
Be More Chill,Ned Vizzini,"3.59 avg rating — 14,720 ratings",comedy
"Greetings Earthlings, My name is Appleton and I come from the Planet Reginta",J. Jack Bergeron,3.32 avg rating — 22 ratings,comedy
White Girl Problems,Babe Walker,"3.75 avg rating — 11,424 ratings",comedy
Tales From Little Lump - Alien Season,Jeff Folschinsky,3.90 avg rating — 71 ratings,comedy
The Horse is Dead,Robert Klane,4.03 avg rating — 72 ratings,comedy
Wife Maintenance Quarterly,Michael Pugh,3.50 avg rating — 4 ratings,comedy
Are We Normal? Funny True Stories from an Everyday Family,Christina Scalise,4.20 avg rating — 20 ratings,comedy
"Zeus Is Dead: A Monstrously Inconvenient Adventure (Zeus Is Dead, #1)",Michael G. Munz,"3.72 avg rating — 1,598 ratings",comedy
Offensive As Hell: The Joys of Jesus Freak Bagging,Leslie Fish,4.25 avg rating — 4 ratings,comedy
"I'll Drink To Divorce (Larry's Journal, #1)",L.J. Dickles,it was amazing 5.00 avg rating — 5 ratings,comedy
It's Not My Fault: Self-Discovery & Admission,Wendi Bear,4.11 avg rating — 57 ratings,comedy
Rancid Tales: My Years in the Food Processing Industry,Den Warren,liked it 3.00 avg rating — 2 ratings,comedy
"Mussolini: His Part In My Downfall  (War Memoirs, #4)",Spike Milligan,"4.23 avg rating — 1,984 ratings",comedy
Lost Journal Vol. 1: Confessions of a Failed Paperboy,Tim Mollen,really liked it 4.00 avg rating — 4 ratings,comedy
Step One: Killing Hitler,William Dean Hamilton,3.75 avg rating — 12 ratings,comedy
Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,"3.90 avg rating — 157,413 ratings",comedy
Small Town Ho: The Hilarious Story of Moving from the Big City to North Idaho,Duke Diercks,3.52 avg rating — 198 ratings,comedy
