Title,Author,Rating,Genre
One Hundred Years of Solitude,Gabriel García Márquez,"4.11 avg rating — 916,152 ratings",Magical Realism
The Time Traveler's Wife,Audrey Niffenegger,"3.99 avg rating — 1,739,565 ratings",Magical Realism
The House of the Spirits,Isabel Allende,"4.27 avg rating — 245,740 ratings",Magical Realism
Like Water for Chocolate,Laura Esquivel,"3.95 avg rating — 355,180 ratings",Magical Realism
Love in the Time of Cholera,Gabriel García Márquez,"3.93 avg rating — 482,134 ratings",Magical Realism
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,"4.06 avg rating — 96,774 ratings",Magical Realism
The Master and Margarita,Mikhail Bulgakov,"4.29 avg rating — 321,859 ratings",Magical Realism
Kafka on the Shore,Haruki Murakami,"4.14 avg rating — 428,531 ratings",Magical Realism
The Wind-Up Bird Chronicle,Haruki Murakami,"4.15 avg rating — 266,766 ratings",Magical Realism
The Night Circus,Erin Morgenstern,"4.02 avg rating — 901,719 ratings",Magical Realism
"Practical Magic (Practical Magic, #1)",Alice Hoffman,"3.74 avg rating — 117,271 ratings",Magical Realism
"Chocolat (Chocolat, #1)",Joanne Harris,"3.96 avg rating — 122,789 ratings",Magical Realism
The Sugar Queen,Sarah Addison Allen,"3.98 avg rating — 53,563 ratings",Magical Realism
Midnight's Children,Salman Rushdie,"3.98 avg rating — 118,791 ratings",Magical Realism
Beloved,Toni Morrison,"3.93 avg rating — 407,507 ratings",Magical Realism
The Girl Who Chased the Moon,Sarah Addison Allen,"3.97 avg rating — 59,135 ratings",Magical Realism
Ficciones,Jorge Luis Borges,"4.42 avg rating — 62,601 ratings",Magical Realism
Daughter of Fortune,Isabel Allende,"3.93 avg rating — 127,035 ratings",Magical Realism
The Peach Keeper,Sarah Addison Allen,"3.85 avg rating — 61,027 ratings",Magical Realism
Life of Pi,Yann Martel,"3.93 avg rating — 1,557,429 ratings",Magical Realism
The Satanic Verses,Salman Rushdie,"3.71 avg rating — 62,761 ratings",Magical Realism
Everything is Illuminated,Jonathan Safran Foer,"3.89 avg rating — 176,467 ratings",Magical Realism
Houdini Heart,Ki Longfellow,"3.83 avg rating — 5,703 ratings",Magical Realism
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"4.13 avg rating — 128,510 ratings",Magical Realism
