Title,Author,Rating,Genre,Book Cover URL
milk and honey,Rupi Kaur,"3.99 avg rating — 681,113 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491595510i/23513349._SY75_.jpg
The Night Before Christmas,Clement Clarke Moore,"4.38 avg rating — 119,114 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388370094i/196970._SX50_.jpg
Shakespeare's Sonnets,William Shakespeare,"4.25 avg rating — 102,260 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660269733i/42038._SY75_.jpg
The Complete Poems of Emily Dickinson,Emily Dickinson,"4.27 avg rating — 94,619 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549999503i/112204._SY75_.jpg
The Complete Poetry,Edgar Allan Poe,"4.28 avg rating — 15,458 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328023470i/73445._SY75_.jpg
Green Eggs and Ham,Dr. Seuss,"4.31 avg rating — 749,132 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772._SX50_.jpg
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"4.18 avg rating — 524,673 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg
Where the Sidewalk Ends,Shel Silverstein,"4.33 avg rating — 1,357,517 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168052448i/30119._SX50_.jpg
Songs of Innocence and of Experience,William Blake,"4.09 avg rating — 47,521 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348408738i/171547._SY75_.jpg
Salt,Nayyirah Waheed,"4.25 avg rating — 23,444 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380105266i/18585282._SY75_.jpg
Ariel,Sylvia Plath,"4.20 avg rating — 76,134 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442258738i/395090._SY75_.jpg
the sun and her flowers,Rupi Kaur,"4.10 avg rating — 324,324 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499791446i/35606560._SY75_.jpg
The Complete Stories and Poems,Edgar Allan Poe,"4.38 avg rating — 245,505 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919._SY75_.jpg
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 217,098 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1261208589i/2696._SY75_.jpg
The Raven,Edgar Allan Poe,"4.29 avg rating — 137,769 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347398489i/264158._SX50_.jpg
A Midsummer Night's Dream,William Shakespeare,"3.95 avg rating — 526,673 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622._SY75_.jpg
Falling Up,Shel Silverstein,"4.35 avg rating — 147,477 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871908i/30120._SX50_.jpg
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,523,988 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg
"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",Amanda Lovelace,"3.83 avg rating — 131,725 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619708912i/30075802._SX50_.jpg
Rubáiyát of Omar Khayyám,Omar Khayyám,"4.18 avg rating — 21,816 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347732311i/86560._SX50_.jpg
A Light in the Attic,Shel Silverstein,"4.35 avg rating — 434,384 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427169918i/30118._SX50_.jpg
Stopping by Woods on a Snowy Evening,Robert Frost,"4.40 avg rating — 10,512 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545006809i/12201._SX50_.jpg
The Prophet,Kahlil Gibran,"4.23 avg rating — 289,866 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547._SY75_.jpg
Goblin Market: A Tale of Two Sisters,Christina Rossetti,"4.09 avg rating — 14,157 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174687021i/430788._SX50_.jpg
Old Possum's Book of Practical Cats,T.S. Eliot,"4.07 avg rating — 27,328 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639014680i/402128._SX50_.jpg
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,088,321 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493._SX50_.jpg
Dirty Pretty Things,Michael Faudet,"3.73 avg rating — 12,755 ratings",Poetry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417162557i/23627418._SX50_.jpg
