Title,Author,Rating,Genre
Rebecca,Daphne du Maurier,"4.24 avg rating — 579,118 ratings",Psychological Thriller
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"4.16 avg rating — 3,018,557 ratings",Psychological Thriller
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"3.94 avg rating — 80,478 ratings",Psychological Thriller
The President's Daughter,Bill Clinton,"4.28 avg rating — 40,997 ratings",Psychological Thriller
The Guest List,Lucy Foley,"3.84 avg rating — 870,051 ratings",Psychological Thriller
The Girl on the Train,Paula Hawkins,"3.95 avg rating — 2,711,381 ratings",Psychological Thriller
The Silent Patient,Alex Michaelides,"4.18 avg rating — 1,478,653 ratings",Psychological Thriller
Misery,Stephen King,"4.21 avg rating — 631,971 ratings",Psychological Thriller
The Woman in the Window,A.J. Finn,"3.96 avg rating — 707,138 ratings",Psychological Thriller
The Lies I Tell,Julie   Clark,"4.13 avg rating — 50,489 ratings",Psychological Thriller
Before I Go to Sleep,S.J. Watson,"3.90 avg rating — 325,654 ratings",Psychological Thriller
Verity,Colleen Hoover,"4.37 avg rating — 1,776,737 ratings",Psychological Thriller
The Breakdown,B.A. Paris,"3.90 avg rating — 115,455 ratings",Psychological Thriller
Gone Girl,Gillian Flynn,"4.12 avg rating — 2,857,504 ratings",Psychological Thriller
The Couple Next Door,Shari Lapena,"3.81 avg rating — 508,170 ratings",Psychological Thriller
The Sun Down Motel,Simone St. James,"4.03 avg rating — 123,527 ratings",Psychological Thriller
Local Woman Missing,Mary Kubica,"4.15 avg rating — 234,131 ratings",Psychological Thriller
Big Little Lies,Liane Moriarty,"4.30 avg rating — 934,943 ratings",Psychological Thriller
The Housekeeper,Natalie Barelli,"3.92 avg rating — 27,931 ratings",Psychological Thriller
Wrong Place Wrong Time,Gillian McAllister,"4.07 avg rating — 122,500 ratings",Psychological Thriller
End Of Her,Shari Lapena,"3.80 avg rating — 70,081 ratings",Psychological Thriller
"Every Dead Thing (Charlie Parker, #1)",John Connolly,"3.97 avg rating — 28,788 ratings",Psychological Thriller
The Death of Mrs. Westaway,Ruth Ware,"3.82 avg rating — 156,045 ratings",Psychological Thriller
Lost Among the Living,Simone St. James,"3.84 avg rating — 7,523 ratings",Psychological Thriller
"Echo Burning (Jack Reacher, #5)",Lee Child,"4.03 avg rating — 86,479 ratings",Psychological Thriller
Stay Awake,Megan Goldin,"3.85 avg rating — 20,455 ratings",Psychological Thriller
The Woman in Cabin 10,Ruth Ware,"3.74 avg rating — 537,179 ratings",Psychological Thriller
Things We Do in the Dark,Jennifer Hillier,"3.98 avg rating — 56,909 ratings",Psychological Thriller
More Than You'll Ever Know,Katie  Gutierrez,"3.76 avg rating — 15,004 ratings",Psychological Thriller
"The Housemaid (The Housemaid, #1)",Freida McFadden,"4.37 avg rating — 227,558 ratings",Psychological Thriller
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"4.05 avg rating — 315,289 ratings",Psychological Thriller
"You (You, #1)",Caroline Kepnes,"3.95 avg rating — 220,404 ratings",Psychological Thriller
The Wife Between Us,Greer Hendricks,"3.86 avg rating — 341,138 ratings",Psychological Thriller
An Anonymous Girl,Greer Hendricks,"3.81 avg rating — 147,639 ratings",Psychological Thriller
The Maid,Nita Prose,"3.83 avg rating — 326,403 ratings",Psychological Thriller
The Girl Before,J.P. Delaney,"3.70 avg rating — 146,817 ratings",Psychological Thriller
The Good Girl,Mary Kubica,"3.82 avg rating — 228,892 ratings",Psychological Thriller
Sometimes I Lie,Alice Feeney,"3.80 avg rating — 165,985 ratings",Psychological Thriller
"In a Dark, Dark Wood",Ruth Ware,"3.72 avg rating — 313,233 ratings",Psychological Thriller
Find You First,Linwood Barclay,"4.05 avg rating — 13,317 ratings",Psychological Thriller
Just Like Mother,Anne Heltzel,"3.71 avg rating — 7,030 ratings",Psychological Thriller
A Good Marriage,Stephen King,"3.84 avg rating — 17,573 ratings",Psychological Thriller
