Title,Author,Rating,Genre
A Short History of Nearly Everything,Bill Bryson,"4.21 avg rating — 366,305 ratings",Adventure
A Brief History of Time,Stephen Hawking,"4.21 avg rating — 404,601 ratings",Adventure
Cosmos,Carl Sagan,"4.39 avg rating — 139,739 ratings",Adventure
The Selfish Gene,Richard Dawkins,"4.15 avg rating — 170,083 ratings",Adventure
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"4.04 avg rating — 385,013 ratings",Adventure
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"4.28 avg rating — 69,988 ratings",Adventure
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"4.27 avg rating — 191,148 ratings",Adventure
The Origin of Species,Charles Darwin,"really liked it 4.00 avg rating — 110,716 ratings",Adventure
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"4.10 avg rating — 695,038 ratings",Adventure
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"really liked it 4.00 avg rating — 821,391 ratings",Adventure
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"4.09 avg rating — 95,277 ratings",Adventure
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"4.29 avg rating — 47,770 ratings",Adventure
"Thinking, Fast and Slow",Daniel Kahneman,"4.18 avg rating — 451,818 ratings",Adventure
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"4.06 avg rating — 207,603 ratings",Adventure
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"4.38 avg rating — 901,949 ratings",Adventure
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,"4.16 avg rating — 52,759 ratings",Adventure
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,"4.14 avg rating — 109,208 ratings",Adventure
The Feynman Lectures on Physics,Richard P. Feynman,"4.61 avg rating — 7,559 ratings",Adventure
